127.0.0.1, 2015-01-30 13:24:53, GET, /psim2web2py/static/images/gplus-32.png, HTTP/1.1, 304, 0.000777
127.0.0.1, 2015-01-30 13:24:58, POST, /, HTTP/1.1, 500, 0.205130
127.0.0.1, 2015-01-30 13:24:58, POST, /, HTTP/1.1, 500, 0.257144
127.0.0.1, 2015-01-30 13:27:14, GET, /admin/default/ticket/psim2web2py/127.0.0.1.2015-01-30.13-24-58.e4caef1e-4f14-4340-9630-ed0f45810447, HTTP/1.1, 303, 0.259917
127.0.0.1, 2015-01-30 13:27:14, GET, /admin, HTTP/1.1, 200, 0.107049
127.0.0.1, 2015-01-30 13:27:14, GET, /admin/static/_2.9.12/css/calendar.css, HTTP/1.1, 200, 0.010506
127.0.0.1, 2015-01-30 13:27:14, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001973
127.0.0.1, 2015-01-30 13:27:14, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.001566
127.0.0.1, 2015-01-30 13:27:16, POST, /admin, HTTP/1.1, 303, 0.065718
127.0.0.1, 2015-01-30 13:27:16, GET, /admin/default/ticket/psim2web2py/127.0.0.1.2015-01-30.13-24-58.e4caef1e-4f14-4340-9630-ed0f45810447, HTTP/1.1, 200, 0.062753
127.0.0.1, 2015-01-30 13:27:16, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000728
127.0.0.1, 2015-01-30 13:27:27, GET, /, HTTP/1.1, 200, 0.094341
127.0.0.1, 2015-01-30 13:27:27, GET, /psim2web2py/static/js/share.js, HTTP/1.1, 304, 0.000576
127.0.0.1, 2015-01-30 13:27:32, POST, /, HTTP/1.1, 500, 0.072162
127.0.0.1, 2015-01-30 13:27:32, POST, /, HTTP/1.1, 500, 0.105884
127.0.0.1, 2015-01-30 13:28:09, GET, /admin/default/ticket/psim2web2py/127.0.0.1.2015-01-30.13-27-32.cd426d89-f2f2-47dd-bb47-b3837612ab50, HTTP/1.1, 200, 0.061714
127.0.0.1, 2015-01-30 13:28:52, GET, /, HTTP/1.1, 200, 0.086083
127.0.0.1, 2015-01-30 13:28:52, GET, /psim2web2py/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000782
127.0.0.1, 2015-01-30 13:28:52, GET, /psim2web2py/static/css/calendar.css, HTTP/1.1, 304, 0.001524
127.0.0.1, 2015-01-30 13:28:52, GET, /psim2web2py/static/js/jquery.js, HTTP/1.1, 304, 0.000874
127.0.0.1, 2015-01-30 13:28:52, GET, /psim2web2py/static/js/calendar.js, HTTP/1.1, 304, 0.000727
127.0.0.1, 2015-01-30 13:28:52, GET, /psim2web2py/static/css/web2py.css, HTTP/1.1, 304, 0.000303
127.0.0.1, 2015-01-30 13:28:52, GET, /psim2web2py/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000333
127.0.0.1, 2015-01-30 13:28:52, GET, /psim2web2py/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000322
127.0.0.1, 2015-01-30 13:28:52, GET, /psim2web2py/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000262
127.0.0.1, 2015-01-30 13:28:52, GET, /psim2web2py/static/js/web2py.js, HTTP/1.1, 304, 0.000737
127.0.0.1, 2015-01-30 13:28:52, GET, /psim2web2py/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000643
127.0.0.1, 2015-01-30 13:28:52, GET, /psim2web2py/static/js/share.js, HTTP/1.1, 304, 0.002378
127.0.0.1, 2015-01-30 13:28:52, GET, /psim2web2py/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001539
127.0.0.1, 2015-01-30 13:28:53, GET, /psim2web2py/static/images/twitter.png, HTTP/1.1, 304, 0.000614
127.0.0.1, 2015-01-30 13:28:53, GET, /psim2web2py/static/images/gplus-32.png, HTTP/1.1, 304, 0.000987
127.0.0.1, 2015-01-30 13:28:53, GET, /psim2web2py/static/images/facebook.png, HTTP/1.1, 304, 0.002704
127.0.0.1, 2015-01-30 13:28:57, POST, /, HTTP/1.1, 500, 0.069023
127.0.0.1, 2015-01-30 13:28:57, POST, /, HTTP/1.1, 500, 0.099611
127.0.0.1, 2015-01-30 13:29:00, GET, /admin/default/ticket/psim2web2py/127.0.0.1.2015-01-30.13-28-57.950e92bc-0f83-4bbe-a7d0-1b80ce17ba35, HTTP/1.1, 200, 0.113133
127.0.0.1, 2015-01-30 13:31:28, GET, /, HTTP/1.1, 200, 0.097451
127.0.0.1, 2015-01-30 13:31:28, GET, /psim2web2py/static/js/share.js, HTTP/1.1, 304, 0.000622
127.0.0.1, 2015-01-30 13:31:32, POST, /, HTTP/1.1, 500, 0.088280
127.0.0.1, 2015-01-30 13:31:32, POST, /, HTTP/1.1, 500, 0.118389
127.0.0.1, 2015-01-30 13:32:58, GET, /, HTTP/1.1, 200, 0.089910
127.0.0.1, 2015-01-30 13:32:58, GET, /psim2web2py/static/js/share.js, HTTP/1.1, 304, 0.000598
127.0.0.1, 2015-01-30 13:33:04, POST, /, HTTP/1.1, 500, 0.080552
127.0.0.1, 2015-01-30 13:33:04, POST, /, HTTP/1.1, 500, 0.150124
127.0.0.1, 2015-01-30 13:33:04, POST, /, HTTP/1.1, 500, 0.151249
127.0.0.1, 2015-01-30 13:33:06, GET, /admin/default/ticket/psim2web2py/127.0.0.1.2015-01-30.13-33-04.108c3044-a723-4eff-a5a8-4e6a30a74d47, HTTP/1.1, 200, 0.131163
127.0.0.1, 2015-01-30 13:33:06, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.000864
127.0.0.1, 2015-01-30 13:33:06, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000368
127.0.0.1, 2015-01-30 13:34:02, GET, /, HTTP/1.1, 200, 0.090337
127.0.0.1, 2015-01-30 13:34:02, GET, /psim2web2py/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001158
127.0.0.1, 2015-01-30 13:34:02, GET, /psim2web2py/static/js/jquery.js, HTTP/1.1, 304, 0.002135
127.0.0.1, 2015-01-30 13:34:02, GET, /psim2web2py/static/css/calendar.css, HTTP/1.1, 304, 0.001164
